benchmark,mode,entries,miss_ns,plain_us,runtime_us,abs_overhead_us,abs_overhead_pct,proj_overhead_us,proj_overhead_pct,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,iommu_unique_pages,smid_requests,smid_validations,smid_validations_dma_ctrl
stencil2d,iommu_e32_m1000ns,32,1000,14058.821,13979.248,-79.573,-0.566%,686.144,4.881%,156933,156899,34,99.9783%,34,0,0,0
stencil2d,iommu_e64_m100ns,64,100,14058.821,13949.819,-109.002,-0.775%,632.130,4.496%,156928,156894,34,99.9783%,34,0,0,0
stencil2d,iommu_e64_m250ns,64,250,14058.821,13954.427,-104.394,-0.743%,641.120,4.560%,156927,156893,34,99.9783%,34,0,0,0
stencil2d,iommu_e64_m500ns,64,500,14058.821,13961.559,-97.262,-0.692%,656.124,4.667%,156928,156894,34,99.9783%,34,0,0,0
stencil2d,iommu_e64_m1000ns,64,1000,14058.821,13979.248,-79.573,-0.566%,686.144,4.881%,156933,156899,34,99.9783%,34,0,0,0
stencil2d,iommu_e256_m100ns,256,100,14058.821,13949.819,-109.002,-0.775%,632.130,4.496%,156928,156894,34,99.9783%,34,0,0,0
stencil2d,iommu_e256_m250ns,256,250,14058.821,13954.427,-104.394,-0.743%,641.120,4.560%,156927,156893,34,99.9783%,34,0,0,0
stencil2d,iommu_e256_m500ns,256,500,14058.821,13961.559,-97.262,-0.692%,656.124,4.667%,156928,156894,34,99.9783%,34,0,0,0
stencil2d,iommu_e256_m1000ns,256,1000,14058.821,13979.248,-79.573,-0.566%,686.144,4.881%,156933,156899,34,99.9783%,34,0,0,0
stencil2d,iommu_e2048_m100ns,2048,100,14058.821,13949.819,-109.002,-0.775%,632.130,4.496%,156928,156894,34,99.9783%,34,0,0,0
stencil2d,iommu_e2048_m250ns,2048,250,14058.821,13954.427,-104.394,-0.743%,641.120,4.560%,156927,156893,34,99.9783%,34,0,0,0
stencil2d,iommu_e2048_m500ns,2048,500,14058.821,13961.559,-97.262,-0.692%,656.124,4.667%,156928,156894,34,99.9783%,34,0,0,0
stencil2d,iommu_e2048_m1000ns,2048,1000,14058.821,13979.248,-79.573,-0.566%,686.144,4.881%,156933,156899,34,99.9783%,34,0,0,0
stencil3d,plain,-,-,13879.402,13879.402,0.000,0.000%,-,-,0,0,0,-,0,0,0,0
stencil3d,aia-kd,-,-,13879.402,14340.143,460.741,3.320%,811.599,5.848%,0,0,0,-,0,139456,45,12
stencil3d,iommu_e8_m100ns,8,100,13879.402,13957.524,78.122,0.563%,589.640,4.248%,142605,142473,132,99.9074%,66,0,0,0
stencil3d,iommu_e8_m250ns,8,250,13879.402,13978.140,98.738,0.711%,626.776,4.516%,142630,142498,132,99.9075%,66,0,0,0
stencil3d,iommu_e8_m500ns,8,500,13879.402,14010.184,130.782,0.942%,688.512,4.961%,142623,142491,132,99.9074%,66,0,0,0
stencil3d,iommu_e8_m1000ns,8,1000,13879.402,14076.660,197.258,1.421%,812.006,5.850%,142623,142491,132,99.9074%,66,0,0,0
stencil3d,iommu_e16_m100ns,16,100,13879.402,13957.524,78.122,0.563%,589.640,4.248%,142605,142473,132,99.9074%,66,0,0,0
stencil3d,iommu_e16_m250ns,16,250,13879.402,13978.140,98.738,0.711%,626.776,4.516%,142630,142498,132,99.9075%,66,0,0,0
stencil3d,iommu_e16_m500ns,16,500,13879.402,14010.184,130.782,0.942%,688.512,4.961%,142623,142491,132,99.9074%,66,0,0,0
stencil3d,iommu_e16_m1000ns,16,1000,13879.402,14076.660,197.258,1.421%,812.006,5.850%,142623,142491,132,99.9074%,66,0,0,0
stencil3d,iommu_e32_m100ns,32,100,13879.402,13952.661,73.259,0.528%,577.044,4.158%,142591,142523,68,99.9523%,66,0,0,0
stencil3d,iommu_e32_m250ns,32,250,13879.402,13962.145,82.743,0.596%,594.922,4.286%,142601,142533,68,99.9523%,66,0,0,0
stencil3d,iommu_e32_m500ns,32,500,13879.402,13978.535,99.133,0.714%,624.670,4.501%,142599,142531,68,99.9523%,66,0,0,0
stencil3d,iommu_e32_m1000ns,32,1000,13879.402,14013.138,133.736,0.964%,684.168,4.929%,142601,142533,68,99.9523%,66,0,0,0
stencil3d,iommu_e64_m100ns,64,100,13879.402,13952.086,72.684,0.524%,576.754,4.155%,142593,142527,66,99.9537%,66,0,0,0
stencil3d,iommu_e64_m250ns,64,250,13879.402,13961.736,82.334,0.593%,594.172,4.281%,142598,142532,66,99.9537%,66,0,0,0
stencil3d,iommu_e64_m500ns,64,500,13879.402,13978.140,98.738,0.711%,623.178,4.490%,142600,142534,66,99.9537%,66,0,0,0
stencil3d,iommu_e64_m1000ns,64,1000,13879.402,14010.244,130.842,0.943%,681.168,4.908%,142598,142532,66,99.9537%,66,0,0,0
stencil3d,iommu_e256_m100ns,256,100,13879.402,13952.086,72.684,0.524%,576.754,4.155%,142593,142527,66,99.9537%,66,0,0,0
stencil3d,iommu_e256_m250ns,256,250,13879.402,13961.736,82.334,0.593%,594.172,4.281%,142598,142532,66,99.9537%,66,0,0,0
stencil3d,iommu_e256_m500ns,256,500,13879.402,13978.140,98.738,0.711%,623.178,4.490%,142600,142534,66,99.9537%,66,0,0,0
stencil3d,iommu_e256_m1000ns,256,1000,13879.402,14010.244,130.842,0.943%,681.168,4.908%,142598,142532,66,99.9537%,66,0,0,0
stencil3d,iommu_e2048_m100ns,2048,100,13879.402,13952.086,72.684,0.524%,576.754,4.155%,142593,142527,66,99.9537%,66,0,0,0
stencil3d,iommu_e2048_m250ns,2048,250,13879.402,13961.736,82.334,0.593%,594.172,4.281%,142598,142532,66,99.9537%,66,0,0,0
stencil3d,iommu_e2048_m500ns,2048,500,13879.402,13978.140,98.738,0.711%,623.178,4.490%,142600,142534,66,99.9537%,66,0,0,0
stencil3d,iommu_e2048_m1000ns,2048,1000,13879.402,14010.244,130.842,0.943%,681.168,4.908%,142598,142532,66,99.9537%,66,0,0,0
